name,id,title,approval_status,created,description,image_url,is_organization,parent,state,type,extra-abbreviation,extra-category,extra-contact-email,extra-contact-name,extra-contact-phone,extra-foi-email,extra-foi-name,extra-foi-phone,extra-spending_published_by,extra-website-name,extra-website-url
borough-of-broxbourne,f7124b3d-d5d2-4d9b-bb13-11a62da1878d,Borough of Broxbourne,approved,2012-06-27T14:48:49.368942,,,True,local-authorities,active,organization,BB,,,,,,,,,,
boston-borough-council,f11a7de7-83a9-4973-9fcc-15cf88bf7074,Boston Borough Council,approved,2012-06-27T14:50:35.701424,,,True,local-authorities,active,organization,,,,,,,,,,,
bournemouth-borough-council,75db4000-3a7a-4df4-b43d-aa5738445933,Bournemouth Borough Council,approved,2012-06-27T14:48:48.074776,,,True,local-authorities,active,organization,Bournemouth BC,,,,,,,,,,
bracknell-forest-council,dd6bdedf-13b3-40ae-90db-e31cf1a05776,Bracknell Forest Council,approved,2012-06-27T14:50:38.649624,,,True,local-authorities,active,organization,,,,,,,,,,,
bradford-district-care-trust,a9af3ca6-cc97-4118-b7e6-296d7781eeb9,Bradford District Care Trust,approved,2012-06-27T14:51:08.842256,,,True,national-health-service,active,organization,,,,,,,,,,,
brent-primary-care-trust,cf285046-323b-4e1e-85d7-695bcd9bb43f,Brent Primary Care Trust,approved,2012-06-27T14:49:51.036876,,,True,national-health-service,active,organization,,,,,,,,,,,
brentwood-borough-council,8bcb31a9-a911-436e-92ca-ba1424c53183,Brentwood Borough Council,pending,2012-10-11T10:30:48.474049,,,True,local-authorities,active,organization,BBC,local-council,,Brentwood Borough Council,,,,,,,
bridgewater-community-healthcare-nhs-trust,c22b1ef0-1f24-4916-9159-9591b04d8324,Bridgewater Community Healthcare NHS Trust,approved,2012-06-27T14:55:04.134873,,,True,national-health-service,active,organization,,,,,,,,,,,
brighton-and-hove-city-council,d3600188-91a9-4ac5-847e-bcf31afca1fe,Brighton and Hove City Council,approved,2012-06-27T14:50:12.574821,,,True,local-authorities,active,organization,BHCC,,,,,,,,,,
brighton-and-sussex-university-hospitals-nhs-trust,a35075f9-a0fa-4ef9-9b4f-480df660991b,Brighton and Sussex University Hospitals NHS Trust,approved,2012-06-27T14:51:09.572006,,,True,national-health-service,active,organization,,,,,,,,,,,
bristol-city-council,7bbcdc7a-74d0-4a53-a07a-2c15bd7f6bd6,Bristol City Council,approved,2012-06-27T14:48:56.618466,,,True,local-authorities,active,organization,Bristol CC,,,,,,,,,,
british-council,663002cc-ebd9-4ae7-a46b-6f16e823781c,British Council,pending,2012-08-06T16:30:58.884082,,,True,foreign-and-commonwealth-office,active,organization,,,foi@britishcouncil.org,Information Governance Team,,foi@britishcouncil.org,Information Governance Team,,,,
british-educational-communications-and-technology-agency,7808f556-1136-4a64-b292-6467f0088ab8,British Educational Communications and Technology Agency,approved,2012-06-27T14:51:09.960431,,,True,department-for-education,active,organization,,,,,,,,,,,
british-geological-survey,7ad23da8-c49d-4d81-bf85-5cfab52ba143,British Geological Survey,pending,2012-06-27T14:50:32.295517,"<p>Founded in 1835, the British Geological Survey (BGS) is the world's oldest national geological survey and the United Kingdom's premier centre for earth science information and expertise.</p><p>The BGS provides expert services and impartial advice in all areas of geoscience. Our client base is drawn from the public and private sectors both in the UK and internationally.</p>",,True,natural-environment-research-council,active,organization,BGS,,enquiries@bgs.ac.uk,British Geological Survey (BGS) | A world-leading geoscience centre,0115 936 3143,,,,,British Geological Survey (BGS) | A world-leading geoscience centre,http://www.bgs.ac.uk/
british-tourist-authority,21d2a122-5c77-4cf2-87b2-954959fb99b8,British Tourist Authority,approved,2012-06-27T14:50:04.848961,,,True,department-for-culture-media-and-sport,active,organization,,,,,,,,,,,
british-transport-police-authority,6a31de4d-b52c-4704-8189-04440ab949b1,British Transport Police Authority,approved,2012-06-27T14:51:10.329056,,,True,department-for-transport,active,organization,,,,,,,,,,,
british-waterways,7dc801f0-f332-4152-939d-621f1b36df6d,British Waterways,approved,2012-06-27T14:54:42.297419,,,True,department-for-environment-food-and-rural-affairs,active,organization,,,,,,,,,,,
bromley-pct,c553c62b-990a-4fcc-be93-db28a6297d81,Bromley PCT,approved,2012-06-27T14:55:17.045514,,,True,national-health-service,active,organization,,,,,,,,,,,
buckinghamshire-county-council,7003c85e-dc20-46a1-9d10-fcb9ce22d019,Buckinghamshire County Council,approved,2012-06-27T14:50:41.638209,,,True,local-authorities,active,organization,,,,,,,,,,,
buckinghamshire-healthcare-nhs-trust,2aadf337-0d64-4f04-9ff8-b2f0b4cee71c,Buckinghamshire Healthcare NHS Trust,approved,2012-06-27T14:51:11.094003,,,True,national-health-service,active,organization,,,,,,,,,,,
buckinghamshire-primary-care-trust,dfed6930-798c-45db-a9ce-1901414ef986,Buckinghamshire Primary Care Trust,approved,2012-06-27T14:49:41.600726,,,True,national-health-service,active,organization,,,,,,,,,,,
burton-hospitals-nhs-foundation-trust,65283a6a-dfb0-4889-ad43-22b47c9c9e9c,Burton Hospitals NHS Foundation Trust,approved,2012-06-27T14:50:34.744164,,,True,national-health-service,active,organization,,,,,,,,,,,
business-services-authority-nhs,6e422909-99bb-4e66-b565-caefcd9a6388,Business Services Authority (NHS),approved,2012-06-27T14:52:55.811071,,,True,national-health-service,active,organization,,,,,,,,,,,
businesslink,9cc9f81c-0c1b-4fd4-a158-31cc1107817f,BusinessLink,approved,2012-06-27T14:48:57.562765,,,True,her-majestys-revenue-and-customs,active,organization,BL,,,,,,,,,,
buying-solutions,25bc0094-a54a-4905-a856-531743ac66ff,Buying Solutions,pending,2012-06-27T14:51:11.487166,,,True,cabinet-office,active,organization,,,,,,,,,,,
cabinet-office,aa1e068a-23da-4563-b9c2-2cad272b663e,Cabinet Office,pending,2012-06-27T14:48:40.244951,,,True,government-digital-services,active,publisher,CO,core-department,transparency-co@cabinet-office.gsi.gov.uk,CO Transparency,,foi.team@cabinet-office.gsi.gov.uk,FOI Team,,,,
cafcass,757bc7af-a483-49a1-ad24-82642635130d,Cafcass,approved,2012-06-27T14:49:17.928110,,,True,department-for-education,active,organization,,,,,,,,,,,
calderdale-council,ac36527f-2037-403a-9021-f335c97d207a,Calderdale Council,approved,2012-06-27T14:50:03.713546,,,True,local-authorities,active,organization,,,,,,,,,,,
calderdale-metropolitan-borough-council,8f45940b-a372-4709-9119-cf19ac249ede,Calderdale Metropolitan Borough Council,approved,2012-06-27T14:50:08.577384,,,True,local-authorities,active,organization,CMBC,,,,,,,,,,
calderstones-partnership-nhs-foundation-trust,ff941389-5562-4ebf-8409-bc9e7034c411,Calderstones Partnership NHS Foundation Trust,approved,2012-06-27T14:51:12.233275,,,True,national-health-service,active,organization,,,,,,,,,,,
cambridgeshire-county-council,d0149ce5-e526-4c09-8230-c8cc6a687f6a,Cambridgeshire County Council,approved,2012-06-27T14:49:31.613796,,,True,local-authorities,active,organization,CCC,,,,,,,,,,
canal-river-trust,5322f28c-9c7c-440f-8994-c199c3cbe203,Canal & River Trust,pending,2012-10-01T14:38:29.028876,A charitable trust that looks after waterways in England and Wales. Created from British Waterways in July 2012.,,True,department-for-environment-food-and-rural-affairs,active,organization,,alb,,,,,,,,,
capital-for-enterprise-ltd,6fb3ac24-11d5-4cfb-a516-f6f94da6d029,Capital For Enterprise Ltd,pending,2012-06-27T14:54:58.105768,,,True,department-for-business-innovation-and-skills,active,organization,,,,,,,,,,,
care-quality-commission,c1956953-f43c-42e2-a18e-9965dfdc2163,Care Quality Commission,approved,2012-06-27T14:48:46.338740,,,True,national-health-service,active,organization,CQC,,,cqc.org.uk contact,,,,,,cqc.org.uk,http://www.cqc.org.uk/
central-and-eastern-cheshire-primary-care-nhs-trust,c20fa64a-facb-4ff8-ab6d-f2dcb4398e19,Central and Eastern Cheshire Primary Care NHS Trust,approved,2012-06-27T14:51:13.349693,,,True,national-health-service,active,organization,,,,,,,,,,,
central-manchester-university-hospitals-nhs-foundation-trust,6e2aa46e-e678-4ef8-90af-e1dc030b0dd8,Central Manchester University Hospitals NHS Foundation Trust,approved,2012-06-27T14:49:39.430262,,,True,national-health-service,active,organization,,,,,,,,,,,
central-office-of-information,f8391d1b-b20a-4ec7-80af-0647ed1e72eb,Central Office of Information,pending,2012-06-27T14:49:11.600615,,,True,cabinet-office,active,organization,COI,,david.pullinger@coi.gsi.gov.uk ,,,,,,,,
centre-for-ecology-hydrology,866f4088-ae4f-43b8-ba8c-6d3141a327f2,Centre for Ecology & Hydrology,approved,2012-06-27T14:54:40.370760,"<p>The Centre for Ecology &amp; Hydrology is the UK's Centre of  Excellence for integrated research in terrestrial and freshwater  ecosystems and their interaction with the atmosphere. As part of the <a href=""http://www.nerc.ac.uk/"" target=""_blank"">Natural Environment Research Council</a>,  we provide National Capability based on innovative, independent and  interdisciplinary science and long-term environmental monitoring,  forming an integral part of NERC's vision and strategy.</p> <p>Working in partnership with the research community,  policy-makers, industry and society, we deliver world-class solutions to  the most complex environmental challenges facing humankind.</p> <p>CEH is a member of <a href=""http://www.peer.eu/"">PEER</a> (the Partnership for European Environmental Research).</p>",,True,natural-environment-research-council,active,organization,CEH,,enquiries@ceh.ac.uk,Centre for Ecology & Hydrology contact,,,,,,Centre for Ecology & Hydrology,http://www.ceh.ac.uk/
centre-for-environment-fisheries-aquaculture-science,2f1c6ccb-3f21-40c0-8b26-41566c53eb2f,"Centre for Environment, Fisheries & Aquaculture Science",approved,2012-06-27T14:50:51.521004,,,True,department-for-environment-food-and-rural-affairs,active,organization,,,,,,,,,,,
charity-commission-for-england-and-wales,3ea4da42-f1ba-4164-bcef-d750674abcae,Charity Commission for England and Wales,pending,2012-06-27T14:49:07.219717,"We regulate over 160,000 charities in England &amp; Wales. If you have a query, please contact us via our website.<a rel=""me nofollow"" href=""http://www.charitycommission.gov.uk/"" target=""_blank"">http://www.charitycommission.gov.uk</a>",,True,charity-commissions-for-england-and-wales,active,organization,CC,,,The Charity Commission for England and Wales contact,,,,,,The Charity Commission for England and Wales,http://www.charity-commission.gov.uk
chartered-institute-of-public-finance-and-accountancy,d3e2c2a8-2a07-44e6-9a6c-85b3e269a353,Chartered Institute of Public Finance and Accountancy,approved,2012-06-27T14:48:45.610720,,,True,,active,organization,CIPFA,,,,,,,,,,
chelmsford-borough-council,807931ed-a2d2-414d-973e-08f00510df1e,Chelmsford Borough Council,approved,2012-06-27T14:50:49.459903,,,True,local-authorities,active,organization,,,,,,,,,,,
cheltenham-borough-council,16cba834-cbea-4178-99e5-57535355fd53,Cheltenham Borough Council,pending,2012-06-27T14:55:06.663686,,,True,local-authorities,active,organization,,,webmaster@cheltenham.gov.uk,Cheltenham Borough Council webteam,01242 775192,customerrelations@cheltenham.gov.uk,Cheltenham Borough Council customer relations team,01242 264350,,,
cherwell-district-council,76d92b2d-7f33-45f3-adb0-a3be5c57640f,Cherwell District Council,approved,2012-06-27T14:50:12.997482,,,True,local-authorities,active,organization,CDC,,,,,,,,,,
cheshire-west-and-chester-council,b6b50d70-9d5c-4fef-9135-7756cca343c3,Cheshire West and Chester Council,approved,2012-06-27T14:50:13.423731,,,True,local-authorities,active,organization,CWCC,,,,,,,,,,
chesterfield-borough-council,66299126-76fe-4969-8f47-0b8928e2cd01,Chesterfield Borough Council,approved,2012-06-27T14:50:43.894260,,,True,local-authorities,active,organization,,,,,,,,,,,
chichester-district-council,86cb6d94-27be-4f99-b8b7-71899b942e39,Chichester District Council,approved,2012-06-27T14:50:20.422699,,,True,local-authorities,active,organization,CDC,,,,,,,,,,
child-maintenance-and-enforcement-commission,670ed272-5d8d-4ff2-82b5-d2b97996a561,Child Maintenance and Enforcement Commission,approved,2012-06-27T14:49:29.673757,,,True,department-for-work-and-pensions,active,organization,CMEC,,,,,,,,,,
children-and-family-court-advisory-and-support-service,977a6df4-ab0d-4d07-843c-b0b40456402d,Children and Family Court Advisory and Support Service,approved,2012-06-27T14:51:13.732952,,,True,department-for-education,active,organization,,,,,,,,,,,
childrens-workforce-development-council,46edf368-0df5-4e96-9235-b9b0b6db5c61,Children's Workforce Development Council,approved,2012-06-27T14:49:25.021620,,,True,department-for-education,active,publisher,,,,,,,,,,,
chorley-council,095e936f-2625-4fe2-bc24-8dec90cc12a1,Chorley Council,approved,2012-06-27T14:50:13.847386,,,True,local-authorities,active,organization,CC,,,,,,,,,,
christchurch-borough-council,921cb31a-e838-464c-a78b-4992348e3507,Christchurch Borough Council,approved,2012-06-27T14:50:37.409677,,,True,local-authorities,active,organization,ChristchurchBC,,,,,,,,,,http://www.dorsetforyou.com/Christchurch
churches-conservation-trusts,719949c4-a2de-43c2-aad7-d2ab4b55054b,Churches Conservation Trusts,approved,2012-06-27T14:49:18.284246,,,True,department-for-culture-media-and-sport,active,organization,TCCT,,,,,,,,,,
city-and-hackney-primary-care-trust,8971b757-1df4-4f63-8761-b8718464c285,City and Hackney Primary Care Trust,approved,2012-06-27T14:55:21.406314,,,True,national-health-service,active,organization,,,,,,,,,,,
city-of-london,e34362f3-b11b-47ee-8307-6f8c7d2e5bb2,City of London,approved,2012-06-27T14:49:32.506551,,,True,local-authorities,active,organization,CL,,,,,,,,,,
civil-aviation-authority,7c71d51f-a5d6-4021-a111-b9ec973781d1,Civil Aviation Authority,approved,2012-06-27T14:50:56.210513,,,True,department-for-transport,active,organization,,,,,,,,,,,
civil-service-learning,9f3793f5-ad3d-45f6-9150-ad32c52aa738,Civil Service Learning,pending,2012-07-12T14:50:41.941748,,,True,home-office,active,organization,,,public.enquiries@homeoffice.gsi.gov.uk,Civil Service Learning,,FoIRequests@homeoffice.gsi.gov.uk,Civil Service Learning,,,,
coal-authority,62474397-ebd4-48ca-9358-13756ca91221,Coal Authority,approved,2012-06-27T14:50:09.782171,,,True,department-of-energy-and-climate-change,active,organization,,,,,,,,,,,
colchester-hospital-university-nhs-foundation-trust,da066f6e-bb2c-489c-8359-d925c1ac5513,Colchester Hospital University NHS Foundation Trust,approved,2012-06-27T14:51:15.631844,,,True,national-health-service,active,organization,,,,,,,,,,,
collections-trust,47bc0c9f-c8dd-48cb-b30d-933d64cd53e5,Collections Trust,approved,2012-06-27T14:55:16.323694,,,True,department-for-culture-media-and-sport,active,organization,,,,,,,,,,,
commission-for-architecture-and-the-built-environment,8e101cb5-36a0-4a25-ace6-d2f30b8546bd,Commission for Architecture and the Built Environment,approved,2012-06-27T14:51:16.007636,,,True,department-for-culture-media-and-sport,active,organization,,,,,,,,,,,
commission-for-rural-communities,5469308a-3214-4855-a074-48991862678c,Commission for Rural Communities,approved,2012-06-27T14:51:16.384791,,,True,department-for-environment-food-and-rural-affairs,active,organization,,,,,,,,,,,
committee-on-climate-change,8d8e7977-4176-407b-ac70-2c3c8208973f,Committee on Climate Change,approved,2012-06-27T14:55:19.980507,,,True,department-of-energy-and-climate-change,active,organization,,,,,,,,,,,
companies-house,00f2652b-377a-4335-8407-e2780bc5cded,Companies House,pending,2012-06-27T14:49:10.812430,,,True,department-for-business-innovation-and-skills,active,organization,CH,,,,,,,,,,http://www.companieshouse.gov.uk
companies-investigation-branch,fe7c45e3-265b-46a8-b0d3-af2883deb1ca,Companies Investigation Branch,pending,2012-06-27T14:51:14.113611,,,True,department-for-business-innovation-and-skills,active,organization,,,,,,,,,,,
competition-commission,faf0f33e-fd97-4f8a-bce3-4de91949b5db,Competition Commission,pending,2012-06-27T14:54:46.440584,,,True,department-for-business-innovation-and-skills,active,organization,,,,,,,,,,,
construction-industry-training-board,ea0a2a43-a110-4979-89df-b9c779e30b3a,Construction Industry Training Board,pending,2012-06-27T14:51:14.914329,,,True,department-for-business-innovation-and-skills,active,organization,,,,,,,,,,,
consumer-council-for-water,7e912f56-1fe0-4d03-9273-732a7b6f4d51,Consumer Council for Water,approved,2012-06-27T14:51:18.933203,,,True,department-for-environment-food-and-rural-affairs,active,organization,,,,,,,,,,,
consumer-focus,9f7f3c2b-fc1d-4569-b1fa-5826e638c3cd,Consumer Focus,pending,2012-06-27T14:54:55.493172,,,True,department-for-business-innovation-and-skills,active,organization,,,,,,,,,,,
corby-borough-council,028bfeae-e72d-4a2d-9382-64dd6d99a3db,Corby Borough Council,approved,2012-06-27T14:48:53.403128,,,True,local-authorities,active,organization,Corby BC,,,,,,,,,,
cornwall-and-isles-of-scilly-community-health-services,3413a1c4-092b-4580-b7b5-03cccd0becab,Cornwall and Isles of Scilly Community Health Services,approved,2012-06-27T14:51:17.143860,,,True,national-health-service,active,organization,,,,,,,,,,,
cornwall-partnership-nhs-foundation-trust,da4b6503-884b-4cc5-9729-79bcea82018f,Cornwall Partnership NHS Foundation Trust,approved,2012-06-27T14:51:18.035291,,,True,national-health-service,active,organization,,,,,,,,,,,
council-for-healthcare-regulatory-excellence,9d1b9a00-d743-4008-ade0-73db26ff5cef,Council for Healthcare Regulatory Excellence,pending,2012-06-27T14:51:18.567328,,,True,department-of-health,active,organization,,,,,,,,,,,
county-durham-primary-care-trust,e34633f7-c04e-4941-9e2f-6edc4d61db32,County Durham Primary Care Trust,approved,2012-06-27T14:51:19.682619,,,True,national-health-service,active,publisher,,,,,,,,,,,
coventry-and-warwickshire-partnership-nhs-trust,1964752b-bc06-402c-9208-00e162e7d212,Coventry and Warwickshire Partnership NHS Trust,approved,2012-06-27T14:49:51.759403,,,True,national-health-service,active,organization,,,,,,,,,,,
coventry-primary-care-trust,73bf2471-2d50-4e99-bc2c-38223e39b0e1,Coventry Primary Care Trust,approved,2012-06-27T14:51:21.102843,,,True,national-health-service,active,organization,,,,,,,,,,,
coventry-warwickshire-partnership-nhs-trust,c3371ea2-da07-4349-b0e3-c090ab05eaab,Coventry & Warwickshire Partnership NHS Trust,approved,2012-06-27T14:51:20.396891,,,True,national-health-service,active,organization,,,,,,,,,,,
crc-energy-efficiency-scheme,a8b5fbf1-c32b-4ca3-84f2-c112c88b1f3d,CRC Energy Efficiency Scheme,approved,2012-06-27T14:54:59.610104,,,True,department-of-energy-and-climate-change,active,organization,,,,,,,,,,,
criminal-cases-review-commission,ba3e7221-455b-4d0e-a26e-480938ff5c76,Criminal Cases Review Commission,approved,2012-06-27T14:51:12.612120,,,True,ministry-of-justice,active,organization,,,,,,,,,,,
criminal-injuries-compensation-authority,0382695c-9700-4f7c-900a-041977e22006,Criminal Injuries Compensation Authority,approved,2012-06-27T14:51:14.520178,,,True,ministry-of-justice,active,organization,,,,,,,,,,,
